,date,portfolio_value,weights
0,1986-10-31,100.0,"{'market': 0.14285714285714285, 'ocf_me': 0.14285714285714285, 'ret_1_0': 0.14285714285714285, 'fnl_gr1a': 0.14285714285714285, 'ret_12_7': 0.14285714285714285, 'earnings_variability': 0.14285714285714285, 'seas_6_10an': 0.14285714285714285}"
1,1986-11-30,100.11855261630458,
2,1986-12-31,100.40313588539273,
3,1987-01-31,100.42729109105271,
4,1987-02-28,100.37489956368164,
5,1987-03-31,100.22797150987373,
6,1987-04-30,99.66454978556368,
7,1987-05-31,99.24029912045096,
8,1987-06-30,99.5271040440146,
9,1987-07-31,99.52603376446393,
10,1987-08-31,99.91703806395847,
11,1987-09-30,99.82997389273264,
12,1987-10-31,100.83074361691557,"{'market': 0.16666666666666666, 'ocf_me': 0.16666666666666666, 'ret_1_0': 0.16666666666666666, 'mispricing_perf': 0.16666666666666666, 'inv_gr1a': 0.16666666666666666, 'sale_me': 0.16666666666666666}"
13,1987-11-30,101.20508642638055,
14,1987-12-31,101.7940572962573,
15,1988-01-31,103.75483911410184,
16,1988-02-29,105.48700220385294,
17,1988-03-31,106.44877834506765,
18,1988-04-30,107.19546011992801,
19,1988-05-31,107.23503664218083,
20,1988-06-30,107.93507120199276,
21,1988-07-31,109.23670385487634,
22,1988-08-31,109.39639648189437,
23,1988-09-30,109.46368427129342,
24,1988-10-31,109.81088395230915,"{'market': 0.16666666666666666, 'ocf_me': 0.16666666666666666, 'ret_1_0': 0.16666666666666666, 'mispricing_perf': 0.16666666666666666, 'inv_gr1a': 0.16666666666666666, 'sale_me': 0.16666666666666666}"
25,1988-11-30,109.67382308547884,
26,1988-12-31,110.20468529048793,
27,1989-01-31,110.33221662338592,
28,1989-02-28,110.97622475181137,
29,1989-03-31,111.47631718333643,
30,1989-04-30,111.18364032924923,
31,1989-05-31,110.6523414548135,
32,1989-06-30,110.90611171851303,
33,1989-07-31,110.83754259352106,
34,1989-08-31,111.7146278120036,
35,1989-09-30,111.509574728543,
36,1989-10-31,110.06515288441119,"{'market': 0.2, 'ocf_me': 0.2, 'ret_1_0': 0.2, 'ret_12_7': 0.2, 'chcsho_12m': 0.2}"
37,1989-11-30,109.65418352077717,
38,1989-12-31,108.77783119601277,
39,1990-01-31,107.71028401310338,
40,1990-02-28,107.92528932702304,
41,1990-03-31,108.06343985136546,
42,1990-04-30,107.90570022028655,
43,1990-05-31,106.97104174934117,
44,1990-06-30,107.50432897271259,
45,1990-07-31,109.34195527390594,
46,1990-08-31,108.4821933310451,
47,1990-09-30,107.9948576632938,
48,1990-10-31,106.71627761174899,"{'market': 0.2, 'ocf_at': 0.2, 'seas_11_15an': 0.2, 'ret_1_0': 0.2, 'resff3_12_1': 0.2}"
49,1990-11-30,107.15933930435654,
50,1990-12-31,106.48152911555597,
51,1991-01-31,108.99509756722067,
52,1991-02-28,110.5123777349402,
53,1991-03-31,112.53604059703507,
